date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:17:36	23320/23320	---M--	200	added ('OK')	text/plain	etag:%225b18-561c50f335118%22	http://www.innovationplans.com/idesign/sam-martin/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/fonts/glyphicons-halflings-regular.woff	(from http://www.innovationplans.com/idesign/sam-martin/css/bootstrap.min.css)
10:17:39	62926/62926	---M--	200	added ('OK')	image/svg+xml	etag:%22f5ce-561c50f0f812f%22	http://www.innovationplans.com/idesign/sam-martin/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/fonts/glyphicons-halflings-regular.svg	(from http://www.innovationplans.com/idesign/sam-martin/css/bootstrap.min.css)
10:17:40	16744/16744	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Jan%202018%2004:47:38%20GMT	http://www.innovationplans.com/idesign/sam-martin/css/owl.video.play.png	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/css/owl.video.play.png	(from http://www.innovationplans.com/idesign/sam-martin/css/owl.carousel.min.css)
10:17:40	41280/41280	---M--	200	added ('OK')	text/plain	etag:%22a140-561c50f7c5464%22	http://www.innovationplans.com/idesign/sam-martin/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/fonts/glyphicons-halflings-regular.ttf	(from http://www.innovationplans.com/idesign/sam-martin/css/bootstrap.min.css)
10:17:51	77160/77160	---M--	200	added ('OK')	text/plain	etag:%2212d68-561c50d876eee%22	http://www.innovationplans.com/idesign/sam-martin/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/fonts/fontawesome-webfont3e6e.woff2	(from http://www.innovationplans.com/idesign/sam-martin/css/font-awesome.min.css)
10:17:59	165742/165742	---M--	200	added ('OK')	text/plain	etag:%222876e-561c50b03eded%22	http://www.innovationplans.com/idesign/sam-martin/fonts/fontawesome-webfont.eot?v=4.7.0	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/fonts/fontawesome-webfont3e6e.eot	(from http://www.innovationplans.com/idesign/sam-martin/css/font-awesome.min.css)
10:18:01	165742/165742	---M--	200	added ('OK')	text/plain	etag:%222876e-561c50b03eded%22	http://www.innovationplans.com/idesign/sam-martin/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/fonts/fontawesome-webfontd41d.eot	(from http://www.innovationplans.com/idesign/sam-martin/css/font-awesome.min.css)
10:18:02	98024/98024	---M--	200	added ('OK')	text/plain	etag:%2217ee8-561c50c50ef39%22	http://www.innovationplans.com/idesign/sam-martin/fonts/fontawesome-webfont.woff?v=4.7.0	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/fonts/fontawesome-webfont3e6e.woff	(from http://www.innovationplans.com/idesign/sam-martin/css/font-awesome.min.css)
10:18:04	16744/16744	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Jan%202018%2004:48:03%20GMT	http://www.innovationplans.com/idesign/sam-martin/fonts/fontawesome-webfont.svg?v=4.7.0	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/fonts/fontawesome-webfont3e6e.svg	(from http://www.innovationplans.com/idesign/sam-martin/css/font-awesome.min.css)
10:18:08	32694/32694	---M--	200	added ('OK')	text/plain	etag:%227fb6-561c50989c223%22	http://www.innovationplans.com/idesign/sam-martin/fonts/et-line.eot	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/fonts/et-line.eot	(from http://www.innovationplans.com/idesign/sam-martin/css/et-line.css)
